"","Species","Colony","Core","Total.init","PropD.init","MaxY.init","BleachLvl","Total.bleach","PropD.bleach","MaxY.bleach","RecovTemp","Total.recov","PropD.recov","MaxY.recov","BleachLvl2","Total.bleach2","PropD.bleach2","MaxY.bleach2","Total.recov2","PropD.recov2","MaxY.recov2"
"1","Ss","Ss1","Ss1_1",0.08651248,0,0.491,"High",NA,NA,0.262,"29",0.001229113,0.648177181430837,0.396,NA,NA,NA,NA,NA,NA,NA
"2","Ss","Ss1","Ss1_3",0.852188694,0.063446223096689,0.512,"Med",0.040838773,0,0.126,"29",0.164345781,0.98642669750068,0.396,NA,NA,NA,NA,NA,NA,NA
"3","Ss","Ss1","Ss1_4",0.122974381,0,0.497,"Med",0.026531481,0,0.278,"24",0.302021729,0.0729861559066831,0.164,NA,NA,NA,NA,NA,NA,NA
"4","Ss","Ss1","Ss1_5",1.134351185,0,0.498,"Med",0.007554895,0,0.225,"29",0.004729743,0.8098568992015,0.395,NA,NA,NA,NA,NA,NA,NA
"5","Ss","Ss1","Ss1_6",0.661154664,0,0.499,"Low",0.16544061,0,0.352,"29",0.016288627,0.316900497506635,0.348,NA,NA,NA,NA,NA,NA,NA
"6","Ss","Ss1","Ss1_7",0.066161726,0,0.521,"High",0.000148912,0,0.157,"29",0.002654299,0.852894116299633,0.392,NA,NA,NA,NA,NA,NA,NA
"7","Ss","Ss1","Ss1_8",0.125539795,0.148134342580375,0.449,"Low",0.038095916,0.726934141706948,0.245,"24",0.788077033,0.996936295693317,0.395,NA,NA,NA,NA,NA,NA,NA
"8","Ss","Ss1","Ss1_11",1.134891954,0,0.5,"Med",0.579242362,0,0.171,"24",0.207104826,0.798129648606064,0.329,NA,NA,NA,NA,NA,NA,NA
"9","Ss","Ss1","Ss1_16",0.304837552,0,0.486,"High",0.001054234,0,0.228,"24",0.030943703,0.950239471985625,0.193,NA,NA,NA,NA,NA,NA,NA
"10","Ss","Ss1","Ss1_17",0.43786042,0,0.471,"Low",0.080183444,0,0.292,"29",NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA
"11","Ss","Ss1","Ss1_18",0.281465274,0,0.493,"Low",0.157407015,0,0.282,"24",0.145140781,0.0777676812969609,0.52,NA,NA,NA,NA,NA,NA,NA
"12","Ss","Ss1","Ss1_21",0.187804915,0,0.534,"High",7.53813e-05,0,0.151,"24",NA,NA,0.199,NA,NA,NA,NA,NA,NA,NA
"13","Ss","Ss2","Ss2_1",0.115600743,0.989938741137676,0.483,"Low",0.083512377,0.996263990905204,0.417,"24",0.201176782,0.99690030830695,0.578,NA,NA,NA,NA,NA,NA,NA
"14","Ss","Ss2","Ss2_4",0.128683857,0.987737545044209,0.527,"High",0.031547464,1,0.409,"29",0.035942557,0.994779698060992,0.448,NA,NA,NA,NA,NA,NA,NA
"15","Ss","Ss2","Ss2_7",18.4975945,0.199124435882731,0.496,"Med",0.023499836,0.810041908377573,0.407,"29",0.098312725,1,0.461,NA,NA,NA,NA,NA,NA,NA
"16","Ss","Ss2","Ss2_8",0.492491033,0.0451786682581082,0.457,"Low",0.092214688,0.464830548469675,0.231,"29",0.043827048,0.985540093870799,0.421,NA,NA,NA,NA,NA,NA,NA
"17","Ss","Ss2","Ss2_9",0.083374809,0.686655090268333,0.538,"High",0.012204261,1,0.355,"24",NA,NA,0.409,NA,NA,NA,NA,NA,NA,NA
"18","Ss","Ss2","Ss2_11",0.088404703,0.658052004314748,0.493,"Low",0.066602862,0.743622999263906,0.428,"29",1.065719566,0.98734128336347,0.414,NA,NA,NA,NA,NA,NA,NA
"19","Ss","Ss2","Ss2_12",0.291443505,0.943187819539845,0.485,"Med",0.444366769,0.983967871818966,0.415,"24",0.18694491,1,0.408,NA,NA,NA,NA,NA,NA,NA
"20","Ss","Ss2","Ss2_14",0.085066527,0.877700085252099,0.471,"Med",0.288661038,0.997319444268055,0.406,"24",0.294798578,0.996094665694079,0.405,NA,NA,NA,NA,NA,NA,NA
"21","Ss","Ss2","Ss2_15",0.141734449,0.887441295235148,0.473,"Low",0.038699831,0.922661910332373,0.449,"24",0.147499726,0.995055211153409,0.407,NA,NA,NA,NA,NA,NA,NA
"22","Ss","Ss2","Ss2_16",0.46571078,0.960011752358406,0.5,"Med",11.625829739,0.998340078133498,0.436,"29",0.035449377,0.992661253257004,0.439,NA,NA,NA,NA,NA,NA,NA
